Sample,Cluster
GSM8519598,NR
GSM8519599,Injury
GSM8519600,TCMR
GSM8519601,NKRL
GSM8519602,NKRL
GSM8519603,NR
GSM8519604,NR
GSM8519605,NR
GSM8519606,NR
GSM8519607,Injury
GSM8519608,TCMR
GSM8519609,NR
GSM8519610,NR
GSM8519611,TCMR
GSM8519612,NKRL
GSM8519613,TCMR
GSM8519614,TCMR
GSM8519615,NR
GSM8519616,Injury
GSM8519617,NR
GSM8519618,NR
GSM8519619,Injury
GSM8519620,NR
GSM8519621,TCMR
GSM8519622,NR
GSM8519623,TCMR
GSM8519624,NR
GSM8519625,Injury
GSM8519626,TCMR
GSM8519627,NR
GSM8519628,Injury
GSM8519629,NR
GSM8519630,NR
GSM8519631,NR
GSM8519632,NR
GSM8519633,NR
GSM8519634,NR
GSM8519635,Injury
GSM8519636,NR
GSM8519637,NKRL
GSM8519638,NR
GSM8519639,Injury
GSM8519640,NR
GSM8519641,TCMR
GSM8519642,Injury
GSM8519643,Injury
GSM8519644,TCMR
GSM8519645,Injury
GSM8519646,NR
GSM8519647,NR
GSM8519648,NKRL
GSM8519649,NR
GSM8519650,Injury
GSM8519651,NR
GSM8519652,NKRL
GSM8519653,NR
GSM8519654,NR
GSM8519655,NR
GSM8519656,NR
GSM8519657,TCMR
GSM8519658,NKRL
GSM8519659,NR
GSM8519660,TCMR
GSM8519661,Injury
GSM8519662,NR
GSM8519663,Injury
GSM8519664,Injury
GSM8519665,TCMR
GSM8519666,TCMR
GSM8519667,Injury
GSM8519668,NR
GSM8519669,NKRL
GSM8519670,NR
GSM8519671,NKRL
GSM8519672,TCMR
GSM8519673,NR
GSM8519674,NKRL
GSM8519675,NR
GSM8519676,NR
GSM8519677,NKRL
GSM8519678,NR
GSM8519679,NKRL
GSM8519680,Injury
GSM8519681,TCMR
GSM8519682,NKRL
GSM8519683,NR
GSM8519684,NKRL
GSM8519685,NKRL
GSM8519686,NR
GSM8519687,TCMR
GSM8519688,NR
GSM8519689,NR
GSM8519690,NKRL
GSM8519691,NR
GSM8519692,NKRL
GSM8519693,NR
GSM8519694,Injury
GSM8519695,Injury
GSM8519696,NR
GSM8519697,TCMR
GSM8519698,Injury
GSM8519699,TCMR
GSM8519700,NKRL
GSM8519701,NR
GSM8519702,NKRL
GSM8519703,NR
GSM8519704,NR
GSM8519705,NKRL
GSM8519706,NKRL
GSM8519707,NR
GSM8519708,NKRL
GSM8519709,NKRL
GSM8519710,NR
GSM8519711,NR
GSM8519712,NR
GSM8519713,NR
GSM8519714,Injury
GSM8519715,TCMR
GSM8519716,NR
GSM8519717,NR
GSM8519718,NR
GSM8519719,NR
GSM8519720,TCMR
GSM8519721,NR
GSM8519722,NR
GSM8519723,NKRL
GSM8519724,NR
GSM8519725,NR
GSM8519726,Injury
GSM8519727,TCMR
GSM8519728,NR
GSM8519729,NR
GSM8519730,NR
GSM8519731,NR
GSM8519732,NR
GSM8519733,NKRL
GSM8519734,NKRL
GSM8519735,NR
GSM8519736,TCMR
GSM8519737,NKRL
GSM8519738,NR
GSM8519739,TCMR
GSM8519740,NR
GSM8519741,NR
GSM8519742,NR
GSM8519743,NR
GSM8519744,NKRL
GSM8519745,TCMR
GSM8519746,TCMR
GSM8519747,NR
GSM8519748,NR
GSM8519749,NKRL
GSM8519750,NR
GSM8519751,NR
GSM8519752,NR
GSM8519753,NKRL
GSM8519754,TCMR
GSM8519755,NR
GSM8519756,Injury
GSM8519757,NR
GSM8519758,NR
GSM8519759,Injury
GSM8519760,NR
GSM8519761,NR
GSM8519762,Injury
GSM8519763,NR
GSM8519764,TCMR
GSM8519765,TCMR
GSM8519766,NKRL
GSM8519767,NKRL
GSM8519768,NR
GSM8519769,NR
GSM8519770,TCMR
GSM8519771,NKRL
GSM8519772,NR
GSM8519773,NR
GSM8519774,NR
GSM8519775,NR
GSM8519776,NR
GSM8519777,NKRL
GSM8519778,NR
GSM8519779,TCMR
GSM8519780,NR
GSM8519781,NR
GSM8519782,NR
GSM8519783,NR
GSM8519784,NR
GSM8519785,NR
GSM8519786,NR
GSM8519787,TCMR
GSM8519788,NR
GSM8519789,Injury
GSM8519790,Injury
GSM8519791,TCMR
GSM8519792,NR
GSM8519793,NR
GSM8519794,NR
GSM8519795,NR
GSM8519796,NR
GSM8519797,NR
GSM8519798,Injury
GSM8519799,NR
GSM8519800,NKRL
GSM8519801,NR
GSM8519802,NKRL
GSM8519803,NR
GSM8519804,NR
GSM8519805,NR
GSM8519806,Injury
GSM8519807,TCMR
GSM8519808,NR
GSM8519809,NR
GSM8519810,TCMR
GSM8519811,NR
GSM8519812,TCMR
GSM8519813,TCMR
GSM8519814,NR
GSM8519815,TCMR
GSM8519816,TCMR
GSM8519817,Injury
GSM8519818,NR
GSM8519819,TCMR
GSM8519820,NR
GSM8519821,NR
GSM8519822,NR
GSM8519823,TCMR
GSM8519824,NR
GSM8519825,TCMR
GSM8519826,NR
GSM8519827,NKRL
GSM8519828,Injury
GSM8519829,TCMR
GSM8519830,TCMR
GSM8519831,NR
GSM8519832,NR
GSM8519833,Injury
GSM8519834,NR
GSM8519835,NKRL
GSM8519836,NR
GSM8519837,Injury
GSM8519838,NR
GSM8519839,NR
GSM8519840,TCMR
GSM8519841,Injury
GSM8519842,Injury
GSM8519843,NKRL
GSM8519844,TCMR
GSM8519845,NR
GSM8519846,Injury
GSM8519847,NKRL
GSM8519848,NR
GSM8519849,NR
GSM8519850,NR
GSM8519851,Injury
GSM8519852,NR
GSM8519853,NR
GSM8519854,NKRL
GSM8519855,NR
GSM8519856,NR
GSM8519857,NR
GSM8519858,NR
GSM8519859,TCMR
GSM8519860,TCMR
GSM8519861,TCMR
GSM8519862,NR
GSM8519863,NKRL
GSM8519864,NKRL
GSM8519865,NR
GSM8519866,NR
GSM8519867,Injury
GSM8519868,NR
GSM8519869,NR
GSM8519870,NR
GSM8519871,Injury
GSM8519872,TCMR
GSM8519873,NR
GSM8519874,NR
GSM8519875,Injury
GSM8519876,TCMR
GSM8519877,NR
GSM8519878,NR
GSM8519879,NR
GSM8519880,NKRL
GSM8519881,NKRL
GSM8519882,Injury
GSM8519883,Injury
GSM8519884,Injury
GSM8519885,NR
GSM8519886,NR
GSM8519887,NR
GSM8519888,Injury
GSM8519889,TCMR
GSM8519890,Injury
GSM8519891,NR
GSM8519892,TCMR
GSM8519893,Injury
GSM8519894,NR
GSM8519895,NR
GSM8519896,NR
GSM8519897,NR
GSM8519898,NR
GSM8519899,Injury
GSM8519900,NR
GSM8519901,NR
GSM8519902,NR
GSM8519903,NR
GSM8519904,Injury
GSM8519905,NR
GSM8519906,NKRL
GSM8519907,NKRL
GSM8519908,NR
GSM8519909,NKRL
GSM8519910,NR
GSM8519911,NR
GSM8519912,NR
GSM8519913,Injury
GSM8519914,NR
GSM8519915,NR
GSM8519916,NR
GSM8519917,NKRL
GSM8519918,Injury
GSM8519919,Injury
GSM8519920,NR
GSM8519921,NR
GSM8519922,NR
GSM8519923,NR
GSM8519924,NR
GSM8519925,NR
GSM8519926,NR
GSM8519927,TCMR
GSM8519928,NR
GSM8519929,NR
GSM8519930,NR
GSM8519931,NR
GSM8519932,NKRL
GSM8519933,NR
GSM8519934,Injury
GSM8519935,NR
GSM8519936,NR
GSM8519937,NKRL
GSM8519938,NR
GSM8519939,NR
GSM8519940,NR
GSM8519941,NR
GSM8519942,Injury
GSM8519943,Injury
GSM8519944,NR
GSM8519945,NR
GSM8519946,Injury
GSM8519947,NR
GSM8519948,NKRL
GSM8519949,NR
GSM8519950,NR
GSM8519951,NR
GSM8519952,NR
GSM8519953,TCMR
GSM8519954,TCMR
GSM8519955,TCMR
GSM8519956,NR
GSM8519957,NKRL
GSM8519958,NR
GSM8519959,NR
GSM8519960,NKRL
GSM8519961,NR
GSM8519962,Injury
GSM8519963,NR
GSM8519964,NR
GSM8519965,NR
GSM8519966,NR
GSM8519967,TCMR
GSM8519968,NR
GSM8519969,NR
GSM8519970,NKRL
GSM8519971,Injury
GSM8519972,NR
GSM8519973,TCMR
GSM8519974,NKRL
GSM8519975,NR
GSM8519976,Injury
GSM8519977,NR
GSM8519978,NR
GSM8519979,NR
GSM8519980,NKRL
GSM8519981,NKRL
GSM8519982,NR
GSM8519983,NR
GSM8519984,Injury
GSM8519985,NR
GSM8519986,NR
GSM8519987,NR
GSM8519988,NR
GSM8519989,NR
GSM8519990,NR
GSM8519991,NR
GSM8519992,NR
GSM8519993,NR
GSM8519994,NR
GSM8519995,NR
GSM8519996,NR
GSM8519997,TCMR
GSM8519998,Injury
GSM8519999,Injury
GSM8520000,Injury
GSM8520001,TCMR
GSM8520002,Injury
GSM8520003,NR
GSM8520004,NR
GSM8520005,NR
GSM8520006,NKRL
GSM8520007,NR
GSM8520008,NR
GSM8520009,TCMR
GSM8520010,Injury
GSM8520011,NR
GSM8520012,NR
GSM8520013,TCMR
GSM8520014,NR
GSM8520015,Injury
GSM8520016,Injury
GSM8520017,Injury
GSM8520018,NKRL
GSM8520019,NR
GSM8520020,NR
GSM8520021,TCMR
GSM8520022,NR
GSM8520023,NR
GSM8520024,NKRL
GSM8520025,NR
GSM8520026,NR
GSM8520027,NR
GSM8520028,Injury
GSM8520029,Injury
GSM8520030,NR
GSM8520031,NR
GSM8520032,NR
GSM8520033,NR
GSM8520034,NR
GSM8520035,NKRL
GSM8520036,Injury
GSM8520037,NR
GSM8520038,NR
GSM8520039,Injury
GSM8520040,NKRL
GSM8520041,NR
GSM8520042,NR
GSM8520043,NR
GSM8520044,NR
GSM8520045,NR
GSM8520046,TCMR
GSM8520047,NR
GSM8520048,NR
GSM8520049,NR
GSM8520050,NR
GSM8520051,Injury
GSM8520052,NR
GSM8520053,NR
GSM8520054,NR
GSM8520055,NR
GSM8520056,NR
GSM8520057,NR
GSM8520058,NR
GSM8520059,NR
GSM8520060,TCMR
GSM8520061,NR
GSM8520062,Injury
GSM8520063,NR
GSM8520064,Injury
GSM8520065,TCMR
GSM8520066,Injury
GSM8520067,NR
GSM8520068,Injury
GSM8520069,NR
GSM8520070,NR
GSM8520071,Injury
GSM8520072,NR
GSM8520073,Injury
GSM8520074,NR
GSM8520075,TCMR
GSM8520076,NR
GSM8520077,NR
GSM8520078,TCMR
GSM8520079,NR
GSM8520080,NR
GSM8520081,NR
GSM8520082,Injury
GSM8520083,Injury
GSM8520084,NR
GSM8520085,NR
GSM8520086,TCMR
GSM8520087,NR
GSM8520088,NR
GSM8520089,Injury
GSM8520090,NR
GSM8520091,TCMR
GSM8520092,NR
GSM8520093,NR
GSM8520094,NR
GSM8520095,NR
GSM8520096,Injury
GSM8520097,NKRL
GSM8520098,NKRL
GSM8520099,NR
GSM8520100,NR
GSM8520101,TCMR
GSM8520102,NKRL
GSM8520103,TCMR
GSM8520104,NR
GSM8520105,NR
GSM8520106,NR
GSM8520107,NR
GSM8520108,NR
GSM8520109,NKRL
GSM8520110,Injury
GSM8520111,NR
GSM8520112,Injury
GSM8520113,NR
GSM8520114,Injury
GSM8520115,TCMR
GSM8520116,NKRL
GSM8520117,NR
GSM8520118,TCMR
GSM8520119,TCMR
GSM8520120,NKRL
GSM8520121,TCMR
GSM8520122,Injury
GSM8520123,NKRL
GSM8520124,NR
GSM8520125,NR
GSM8520126,Injury
GSM8520127,NKRL
GSM8520128,NR
GSM8520129,NR
GSM8520130,TCMR
GSM8520131,NR
GSM8520132,NR
GSM8520133,Injury
GSM8520134,Injury
GSM8520135,Injury
GSM8520136,NR
GSM8520137,NR
GSM8520138,TCMR
GSM8520139,TCMR
GSM8520140,NR
GSM8520141,TCMR
GSM8520142,TCMR
GSM8520143,Injury
GSM8520144,TCMR
GSM8520145,NKRL
GSM8520146,Injury
GSM8520147,NR
GSM8520148,TCMR
GSM8520149,TCMR
GSM8520150,Injury
GSM8520151,NR
GSM8520152,TCMR
GSM8520153,Injury
GSM8520154,NR
GSM8520155,TCMR
GSM8520156,TCMR
GSM8520157,Injury
GSM8520158,NR
GSM8520159,Injury
GSM8520160,NR
GSM8520161,TCMR
GSM8520162,NKRL
GSM8520163,Injury
GSM8520164,NKRL
GSM8520165,NKRL
GSM8520166,NKRL
GSM8520167,NR
GSM8520168,NR
GSM8520169,NR
GSM8520170,NR
GSM8520171,NR
GSM8520172,NR
GSM8520173,TCMR
GSM8520174,NR
GSM8520175,NR
GSM8520176,TCMR
GSM8520177,NR
GSM8520178,NKRL
GSM8520179,NKRL
GSM8520180,NR
GSM8520181,TCMR
GSM8520182,NR
GSM8520183,NR
GSM8520184,NR
GSM8520185,NR
GSM8520186,NR
GSM8520187,NKRL
GSM8520188,Injury
GSM8520189,NR
GSM8520190,NR
GSM8520191,TCMR
GSM8520192,NR
GSM8520193,TCMR
GSM8520194,NR
GSM8520195,NKRL
GSM8520196,Injury
GSM8520197,Injury
GSM8520198,NKRL
GSM8520199,TCMR
GSM8520200,TCMR
GSM8520201,NR
GSM8520202,Injury
GSM8520203,NR
GSM8520204,TCMR
GSM8520205,TCMR
GSM8520206,NR
GSM8520207,TCMR
GSM8520208,TCMR
GSM8520209,TCMR
GSM8520210,NR
GSM8520211,Injury
GSM8520212,Injury
GSM8520213,NR
GSM8520214,NR
GSM8520215,NR
GSM8520216,NKRL
GSM8520217,TCMR
GSM8520218,NR
GSM8520219,Injury
GSM8520220,NR
GSM8520221,NR
GSM8520222,TCMR
GSM8520223,NR
GSM8520224,NR
GSM8520225,NR
GSM8520226,NKRL
GSM8520227,NR
GSM8520228,NR
GSM8520229,Injury
GSM8520230,NR
GSM8520231,NR
GSM8520232,NR
GSM8520233,NR
GSM8520234,TCMR
GSM8520235,NR
GSM8520236,Injury
GSM8520237,Injury
GSM8520238,NR
GSM8520239,NR
GSM8520240,Injury
GSM8520241,TCMR
GSM8520242,NR
GSM8520243,Injury
GSM8520244,NR
GSM8520245,NR
GSM8520246,NR
GSM8520247,NR
GSM8520248,NR
GSM8520249,TCMR
GSM8520250,Injury
GSM8520251,NR
GSM8520252,NR
GSM8520253,NR
GSM8520254,Injury
GSM8520255,NR
GSM8520256,NR
GSM8520257,NR
GSM8520258,NR
GSM8520259,NR
GSM8520260,NR
GSM8520261,NR
GSM8520262,NR
GSM8520263,Injury
GSM8520264,TCMR
GSM8520265,NR
GSM8520266,TCMR
GSM8520267,NR
