,0
256,CYTH4
257,CLEC7A
258,SAMD9
259,FLI1
260,C1orf59
261,PREX1
262,FIG4
263,C14orf106
264,FAM105A
265,DAPP1
266,TRIM22
267,LYZ
268,PARP8
269,CLIC2
270,EMB
271,MYOF
272,NCF2
273,KLRB1
274,APOL3
275,PIK3R5
276,KLRD1
277,KLRG1
278,PECAM1
279,RAB8B
280,ENTPD1
281,GAB3
282,RARRES3
283,MYO1F
284,ACAP1
285,ZEB2
286,STK10
287,TRAT1
288,SIGLEC1
289,ANKRD22
290,SYK
291,GIT2
292,SH3BGRL
293,DOK2
294,CLEC4A
295,SLA
296,KCTD12
297,CELF2
298,ICOS
299,VIM
300,CCL19
301,CLIC1
302,P2RY8
303,LGALS3
304,UBE2L6
305,RNASE6
306,STAT1
307,HMGN4
308,C1QC
309,GCET2
310,CYLD
311,FAR1
312,P2RY10
313,TRIM21
314,NSMAF
315,LSP1
316,NCKAP1L
317,FMNL2
318,LPCAT1
319,SCPEP1
320,FAM113B
321,TAP2
322,TRPV2
323,KLRC1
324,SELPLG
325,SKAP2
326,BTLA
327,EAF2
328,PSME2
329,NCF4
330,IFITM1
331,CD47
332,C1QA
333,EPB41L3
334,P2RX5
335,DCK
336,SNX6
337,MS4A1
338,ZAP70
339,FAM78A
340,IFNG
341,KLHL6
342,STAT5A
343,CTSC
344,RFX5
345,MNDA
346,ITGA4
347,PLA2G4A
348,GLIPR1
349,TRAFD1
350,DCLRE1C
351,OBFC2A
352,LY86
353,ZNF101
354,GALNT7
355,MSR1
356,SH3BGRL3
357,PRKCQ
358,SIT1
359,TRIM38
360,FPR3
361,SAMHD1
362,ASPHD2
363,PLEKHA2
364,CIITA
365,PDE7A
366,IL18
367,LEPROTL1
368,RCC2
369,GZMH
370,RAB31
371,LAIR1
372,SFT2D1
373,FCGR1B
374,GLIPR2
375,C1orf54
376,IL18BP
377,LRRC33
378,GPNMB
379,EPSTI1
380,HPSE
381,TMEM51
382,TBX21
383,GNPTAB
384,PRKCD
385,ADAP2
386,NFE2L3
387,GPSM3
388,ICAM2
389,PAG1
390,FOLR2
391,CCR1
392,PPP1R16B
393,ATP1B3
394,IRF9
395,CERKL
396,CCR2
397,P2RY13
398,MYBL1
399,CCL18
400,SP110
401,CXCR4
402,PSMB8
403,SUSD1
404,TNFAIP3
405,CD68
406,STK17B
407,LDHB
408,BASP1
409,CX3CR1
410,NLRC4
411,XCL1
412,ANXA1
413,IRF4
414,MOBKL2A
415,MYO5A
416,STAMBPL1
417,AMICA1
418,LAX1
419,SP100
420,ARHGEF18
421,PFKP
422,SIGLEC7
423,NUP93
424,TLR7
425,C13orf18
426,STX7
427,RGS18
428,PPM1M
429,OSTF1
430,WDR67
431,LAT
432,CASP4
433,FCGR3A
434,SLFN12
435,FCGR2A
436,PLXNC1
437,LTB
438,TAGAP
439,TUBA1A
440,PQLC3
441,FUT8
442,DDHD1
443,ATP8B4
444,IMPDH1
445,ME2
446,HIATL1
447,ALOX5AP
448,C17orf60
449,NIN
450,PAK1
451,PSME1
452,SERPINB1
453,SMCHD1
454,SH2D2A
455,H2AFY
456,RHOG
457,DNMT1
458,SLC9A9
459,MAP3K8
460,IL16
461,GLS
462,ETV7
463,KCNJ10
464,DDX26B
465,CD83
466,CCR7
467,BTK
468,PIM2
469,FAR2
470,KIF2A
471,UBASH3B
472,STK4
473,RASGEF1A
474,GIMAP8
475,CTLA4
476,MARCKS
477,BCL2
478,HMGB2
479,SERPINB9
480,FXYD5
481,MICAL1
482,RNF166
483,TNFRSF9
484,RASSF2
485,UBE2D1
486,INPP4B
487,HAVCR2
488,ZKSCAN4
489,FABP5
490,TM6SF1
491,NDC80
492,HLA-DQA1
493,PIK3CG
494,DGKA
495,CD37
496,CCRL2
497,SLAMF8
498,HLA-DOA
499,MSN
500,STARD3NL
501,E2F3
502,FRMD3
503,POU2AF1
504,TCIRG1
505,CD160
506,KCNA3
507,PTAFR
508,CLEC10A
509,ARPC1B
510,TMEM144
511,AKNA
512,STK17A
513,BTN3A1
514,CECR1
515,DHRS9
516,CD8B
517,BTN2A2
518,PLAC8
519,PTGDR
520,CDC42SE2
521,ANKRD49
522,LBH
523,PTPRE
524,EMR2
525,NPL
526,CYB5R4
527,ARHGAP4
528,TNFRSF14
529,PARP12
530,LILRB4
531,PSTPIP2
532,LPAR6
533,KPNA2
534,C9orf167
535,ETV6
536,TTF2
537,VASP
538,P2RY14
539,INPP4A
540,C10orf54
541,MAP3K1
542,CCDC112
543,TUBA1B
544,EFHD2
545,RNASEH2B
546,HCLS1
547,LOC100291682
548,EMR1
549,VAMP5
550,HN1
551,ZNFX1
552,CHST11
553,CD163
554,RPIA
555,SLC1A5
556,PARVG
557,DDX39
558,ARL6IP5
559,MAN2B1
560,LAG3
561,CRIP1
562,CENPK
563,RASGRP1
564,IFNGR2
565,PLCXD2
566,LILRA2
567,CEP110
568,FGD3
569,NPC2
570,MFSD6
571,NFKBIE
572,KIAA0247
573,IL27RA
574,RARRES1
575,TLR4
576,NCEH1
577,DBNDD2
578,ADPRH
579,GPR160
580,GREB1L
581,CD5
582,STMN1
583,H2AFZ
584,HAPLN3
585,LYSMD2
586,MDFIC
587,PTPRO
588,COTL1
589,RIPK2
590,KLRC3
591,IGHG3
592,SDC3
593,ABI3
594,DUSP2
595,PHTF2
596,CD300LF
597,METRNL
598,VRK1
599,CEP135
600,TRIM34
601,PRDM1
602,C12orf32
603,CXCL16
604,CSF2RA
605,C12orf4
606,GNLY
607,VSIG4
608,TBXAS1
609,LOC100128751
610,SYT11
611,LOC100287723
612,CD84
613,BATF2
614,OGFRL1
615,ASAH1
616,CAP1
617,CLEC12A
618,RNF135
619,C15orf57
620,CARD8
621,NMI
622,SGTB
623,KIF21B
624,DPEP2
625,RUNX2
626,PTTG1
627,CDCA7
628,M6PR
629,MR1
630,CHFR
631,KBTBD8
632,FPR2
633,RPS6KA1
634,ALOX5
635,SLC38A6
636,REC8
637,CD3E
638,LAIR2
639,ARPC4
640,PPP3CC
641,PDCD1LG2
642,PRKACB
643,TC2N
644,NOD2
645,TRA@
646,PLAGL1
647,METTL4
648,MAP4K1
649,SLFN11
650,PRKX
651,FAM46C
652,EMILIN2
653,LGALS9
654,TNF
655,ARL6IP6
656,PLSCR1
657,MAPRE3
658,ATG3
659,SMCR8
660,CCL8
661,FUT4
662,PTPN7
663,METTL9
664,CCND3
665,SOAT1
666,UBE2Z
667,QPCT
668,PCYOX1L
669,GRB2
670,PEA15
671,CCL21
672,TNFRSF25
673,LGALS2
674,TIFA
675,GYG1
676,ZNF708
677,DSE
678,BTN2A1
679,ZNF831
680,LRMP
681,BEX4
682,ATP7B
683,SCLT1
684,PPP2R2B
685,C21orf91
686,ZNF92
687,OAZ1
688,DNMBP
689,ATP10D
690,DBF4
691,MCTP1
692,ERI1
693,GPR183
694,EHBP1L1
695,APOBEC3B
696,DYNLT1
697,VAMP8
698,KIAA0664
699,S100A6
700,RASSF4
701,LTA4H
702,AKR1B1
703,EIF3D
704,NPAT
705,SNHG12
706,TOM1
707,IFI35
708,ADRBK2
709,EIF4E3
710,RGL1
711,TMEM25
712,GNB4
713,OXCT1
714,GYPC
715,PMAIP1
716,LAMP3
717,MFSD1
718,KLC4
719,GPR34
720,TMEM161A
721,AGTRAP
722,H2AFX
723,MX2
724,COMMD8
725,RIPK3
726,LXN
727,PEX14
728,LYAR
729,USP4
730,ANKRD13A
731,RAD51AP1
732,HGSNAT
733,TMEM50A
734,EBI3
735,VNN2
736,UBE2J1
737,FANCI
738,IGJ
739,RRM2
740,YEATS2
741,ARHGAP18
742,DYRK2
743,TTC13
744,BAZ1A
745,SETD6
746,PLBD1
747,HMHA1
748,LOC643634
749,CKLF
750,SLC20A2
751,CES3
752,LILRA6
753,CCL3
754,FAM198B
755,ACTR3
756,MYH14
757,CKAP2
758,CLIC3
759,XPNPEP3
760,RILPL2
761,DNAJC25-GNG10
762,HK2
763,SSPO
764,GNA13
765,GCA
766,C3orf38
767,PDDC1
768,PEX5
769,HK1
770,CD200
771,FBXO5
772,AMPD3
773,GNL3L
774,BTG2
775,TMPRSS6
776,ZFPL1
777,PNPLA2
778,TGFB1
779,MMD
780,TIMP2
781,ITGAX
782,Septin 6
783,TLE2
784,FAM65B
785,MYO1G
786,PLXNA1
787,MGC29506
788,RTP4
789,ZBED5
790,PHF19
791,TSPAN9
792,SWAP70
793,PIGL
794,CSF1R
795,FAM54A
796,CAPG
797,UBA7
798,MS4A4A
799,MYL12A
800,SYNGR2
801,ACAP2
802,APOOL
803,NFKB1
804,WDR54
805,RNASEL
806,MAPK1
807,ACTB
808,YWHAH
809,RHOQ
810,LOC652797
811,LRTOMT
812,TIMP1
813,NRBP2
814,NAP1L1
815,ZDHHC13
816,BARD1
817,SYT9
818,ASAP1
819,RASAL3
820,ZWINT
821,SLC4A7
822,TMEM173
823,BAK1
824,TMEM184A
825,EPB41L2
826,VAPB
827,SORBS3
828,CARD10
829,ATG7
830,SLC35A2
831,GNGT2
832,C3orf14
833,APH1B
834,SS18L1
835,KARS
836,CLECL1
837,MAD2L1
838,TLR10
839,FAM72A
840,PRKD2
841,FKBP15
842,IL7R
843,CACNB3
844,NDE1
845,SLC45A4
846,UHRF1
847,IL32
848,ABTB2
849,IKZF3
850,B3GNT6
851,WDR31
852,EDAR
853,FGR
854,CFD
855,MLPH
856,SECTM1
857,POU6F2
858,LMO2
859,CACNB2
860,TXK
861,GMIP
862,DENND3
863,ADAMTSL4
864,NCK1
865,B2M
866,LGALS3BP
867,P2RY6
868,UBE2T
869,KNTC1
870,SERPINB6
871,JDP2
872,PTP4A2
873,TES
874,TFPT
875,ARMCX6
876,DENND5A
877,C15orf48
878,CBL
879,AGTPBP1
880,CEP55
881,MAX
882,UBLCP1
883,SLC37A1
884,SLC22A5
885,DRAM2
886,MMP9
887,MLF1IP
888,PSMA4
889,IL21R
890,CRAT
891,MFNG
892,WWC3
893,ANO10
894,NT5C3
895,GRB7
896,HK3
897,ATP6V1F
898,KCNJ2
899,BLM
900,PTMA
901,RAP2A
902,ACTR3B
903,CCL2
904,EXOSC9
905,RNF26
906,SPTBN2
907,TMEM156
908,DDX54
909,RALY
910,AXL
911,SCARA3
912,RASSF1
913,ELMO2
914,VPS11
915,NLRP1
916,RAP2B
917,USP30
918,CD63
919,DLG5
920,TMEM120B
921,LGMN
922,HOMER2
923,ABCC5
924,ETV5
925,FAM21A
926,MTMR2
927,CENPW
928,ZC3H7B
929,SCN8A
930,TP53INP2
931,TBC1D9B
932,RNF149
933,CD2BP2
934,RNF213
935,RAB4B
936,RAB34
937,PSAP
938,SOX13
939,GPC1
940,C18orf8
941,LOC100133770
942,PIGS
943,FAM108A1
944,ARPC5
945,NUSAP1
946,MSH2
947,PJA1
948,UBE2E1
949,TOP2A
950,CMTM4
951,NELF
952,C8orf55
953,ZNF43
954,POLA1
955,PPL
956,PTGDS
957,APOBEC3F
958,RTN1
959,EID3
960,NAPRT1
961,ABCG1
962,TCF19
963,ROD1
964,MLLT3
965,C12orf5
966,HAUS1
967,JARID2
968,PARP15
969,MAGI1
970,PCDH1
971,TYMS
972,TUBB6
973,CCR5
974,IGHM
975,PRKD3
976,SMS
977,ETS1
978,CD58
979,LPAR3
980,MOSPD3
981,SMC2
982,IQCB1
983,ACACB
984,BCKDHA
985,COBL
986,SPINT2
987,BCL7A
988,CLCF1
989,MOBKL1B
990,C5orf39
991,MMP15
992,C20orf132
993,GNS
994,TBC1D3P2
995,LOC26172
996,DEPDC1B
997,TMEM106A
998,C20orf72
999,PPP4R4
