Sample,Cluster
GSM8519716,0
GSM8520138,1
GSM8519594,1
GSM8519881,1
GSM8519733,1
GSM8519696,0
GSM8520142,1
GSM8520204,1
GSM8520119,1
GSM8520118,1
GSM8520028,0
GSM8520162,1
GSM8520058,0
GSM8519532,0
GSM8519922,0
GSM8519721,0
GSM8519753,1
GSM8519694,0
GSM8519996,0
GSM8519896,0
GSM8520117,0
GSM8519575,0
GSM8519792,0
GSM8520139,1
GSM8520091,1
GSM8519992,0
GSM8519526,0
GSM8520262,0
GSM8519949,0
GSM8519920,0
GSM8519973,1
GSM8519873,0
GSM8519840,1
GSM8520040,1
GSM8519724,0
GSM8519738,0
GSM8519728,0
GSM8520114,0
GSM8519919,0
GSM8519793,0
GSM8520224,0
GSM8519665,1
GSM8520038,0
GSM8519871,0
GSM8519852,0
GSM8520238,0
GSM8519963,0
GSM8519948,1
GSM8519763,0
GSM8520084,0
GSM8519557,1
GSM8520193,1
GSM8519979,0
GSM8519599,0
GSM8519951,0
GSM8519942,0
GSM8520036,0
GSM8519609,0
GSM8519983,0
GSM8520086,1
GSM8519858,0
GSM8520191,1
GSM8520248,0
GSM8520005,0
GSM8519746,1
GSM8519838,0
GSM8520048,0
GSM8519861,1
GSM8519511,1
GSM8519990,0
GSM8519908,0
GSM8520125,0
GSM8519967,1
GSM8519988,0
GSM8520033,0
GSM8520228,0
GSM8519566,1
GSM8520026,0
GSM8519950,0
GSM8519567,0
GSM8519936,0
GSM8519542,0
GSM8520103,1
GSM8519633,0
GSM8520253,0
GSM8520039,0
GSM8519670,0
GSM8520027,0
GSM8519512,1
GSM8520180,0
GSM8519543,1
GSM8520095,0
GSM8519905,0
GSM8520172,0
GSM8519595,0
GSM8519517,0
GSM8520211,0
GSM8520034,0
GSM8519944,0
GSM8519791,1
GSM8519649,0
GSM8520046,1
GSM8520131,0
GSM8519918,0
GSM8520092,0
GSM8520056,0
GSM8519982,0
GSM8519622,0
GSM8519602,1
GSM8519530,0
GSM8520130,1
GSM8519668,0
GSM8519586,0
GSM8519866,0
GSM8519638,0
GSM8519506,1
GSM8520068,0
GSM8519524,0
GSM8519534,0
GSM8519839,0
GSM8519879,0
GSM8520168,0
GSM8520006,1
GSM8519848,0
GSM8520236,0
GSM8519576,1
GSM8519855,0
GSM8519588,1
GSM8519874,0
GSM8519796,0
GSM8519889,1
GSM8520000,0
GSM8519835,1
GSM8519558,0
GSM8520267,0
GSM8519678,0
GSM8519941,0
GSM8519993,0
GSM8520161,1
GSM8520202,0
GSM8519971,0
GSM8520219,0
GSM8520149,1
GSM8519928,0
GSM8519654,0
GSM8520021,1
GSM8519723,1
GSM8519999,0
GSM8519969,0
GSM8519648,1
GSM8519631,0
GSM8519657,1
GSM8519743,0
GSM8520173,1
GSM8519752,0
GSM8519613,1
GSM8519888,0
GSM8519842,0
GSM8520245,0
GSM8519549,0
GSM8519910,0
GSM8520107,0
GSM8520011,0
GSM8519829,1
GSM8520181,1
GSM8519673,0
GSM8519642,0
GSM8519927,1
GSM8519725,0
GSM8519730,0
GSM8519959,0
GSM8520024,1
GSM8520146,0
GSM8519860,1
GSM8520089,0
GSM8519641,1
GSM8520070,0
GSM8520152,1
GSM8520078,1
GSM8520199,1
GSM8520167,0
GSM8520195,1
GSM8519798,0
GSM8520222,1
GSM8519515,1
GSM8520235,0
GSM8520045,0
GSM8519756,0
GSM8519712,0
GSM8519898,0
GSM8519574,1
GSM8519699,1
GSM8520077,0
GSM8520082,0
GSM8519617,0
GSM8519830,1
GSM8519817,0
GSM8519937,1
GSM8520007,0
GSM8519846,0
GSM8520178,1
GSM8520012,0
GSM8519946,0
GSM8519786,0
GSM8519912,0
GSM8519692,1
GSM8519947,0
GSM8520102,1
GSM8519964,0
GSM8519597,1
GSM8519915,0
GSM8520079,0
GSM8520250,0
GSM8520008,0
GSM8519980,1
GSM8520194,0
GSM8520062,0
GSM8519635,0
GSM8520198,1
GSM8520067,0
GSM8519702,1
GSM8519720,1
GSM8520144,1
GSM8520261,0
GSM8520187,1
GSM8519986,0
GSM8520080,0
GSM8519976,0
GSM8519945,0
GSM8520128,0
GSM8519762,0
GSM8519933,0
GSM8520230,0
GSM8520002,0
GSM8519995,0
GSM8519965,0
GSM8519581,1
GSM8520057,0
GSM8520171,0
GSM8520177,0
GSM8519570,0
GSM8520205,1
GSM8519711,0
GSM8519513,0
GSM8519582,0
GSM8520163,0
GSM8519563,0
GSM8519977,0
GSM8519929,0
GSM8519882,0
GSM8519985,0
GSM8520001,1
GSM8520136,0
GSM8520237,0
GSM8519824,0
GSM8519869,0
GSM8519917,1
GSM8519646,0
GSM8519593,0
GSM8519828,0
GSM8519826,0
GSM8519565,0
GSM8519991,0
GSM8519890,0
GSM8519924,0
GSM8519938,0
GSM8519806,0
GSM8520246,0
GSM8519801,0
GSM8519820,0
GSM8520213,0
GSM8519551,1
GSM8519591,0
GSM8519614,1
GSM8519865,0
GSM8520150,0
GSM8519521,0
GSM8519998,0
GSM8519698,0
GSM8520229,0
GSM8520133,0
GSM8519906,1
GSM8520044,0
GSM8519943,0
GSM8519645,0
GSM8519703,0
GSM8519972,0
GSM8519519,1
GSM8519592,0
GSM8519770,1
GSM8519767,1
GSM8519727,1
GSM8519764,1
GSM8519508,0
GSM8519859,1
GSM8519994,0
GSM8520120,1
GSM8519978,0
GSM8520166,1
GSM8519644,1
GSM8519572,0
GSM8520020,0
GSM8519847,1
GSM8519561,0
GSM8519809,0
GSM8519556,0
GSM8520018,1
GSM8519970,1
GSM8520035,1
GSM8519810,1
GSM8519939,0
GSM8520042,0
GSM8519862,0
GSM8519691,0
GSM8520060,1
GSM8519634,0
GSM8519864,1
GSM8519749,1
GSM8519760,0
GSM8519895,0
GSM8519659,0
GSM8519876,1
GSM8520266,1
GSM8520087,0
GSM8520227,0
GSM8519663,0
GSM8520223,0
GSM8519776,0
GSM8519989,0
GSM8519651,0
GSM8519899,0
GSM8519923,0
GSM8520081,0
GSM8520259,0
GSM8520185,0
GSM8520093,0
GSM8519795,0
GSM8519916,0
GSM8520135,0
GSM8519718,0
GSM8519863,1
GSM8519685,1
GSM8519885,0
GSM8519604,0
GSM8519640,0
GSM8519681,1
GSM8520009,1
GSM8520064,0
GSM8520101,1
GSM8520264,1
GSM8519544,0
GSM8519845,0
GSM8519507,1
GSM8519956,0
GSM8519573,1
GSM8519713,0
GSM8520113,0
GSM8519925,0
GSM8519758,0
GSM8519844,1
GSM8519914,0
GSM8519616,0
GSM8519729,0
GSM8520049,0
GSM8519578,0
GSM8519552,1
GSM8520143,0
GSM8519618,0
GSM8519601,1
GSM8520242,0
GSM8519719,0
GSM8520074,0
GSM8519628,0
GSM8519611,1
GSM8520100,0
GSM8519522,0
GSM8520247,0
GSM8519603,0
GSM8519827,1
GSM8519887,0
GSM8519870,0
GSM8520015,0
